Antike und Abendland	A&A 
Forschungen in Ephesos veröffentlicht vom Österreichischen Archäologischen Institut in Wien	Ephesos
Epigraphica Anatolica. Zeitschrift für Epigraphik und historische Geographie Anatoliens	EpigAnat
Epigraphica. Rivista italiana di epigrafia	Epigraphica
Egyetemes philologiai Közlöny	EPK
Études préliminaires aux religions orientales dans l'empire romain	ÉPRO
Epigraphische Studien	EpSt
Eranos Jahrbuch	EranJb
Eranos. Acta philologica suecana	Eranos
To Ergon tes Archaiologikes Etaireias	Ergon
Eretz-Israel	ErIsr
Etruskische Spiegel	ES
Eurasia septentrionalis antiqua	ESA
E. Espérandieu, Recueil général des bas-reliefs, statues, et bustes de la Gaule romaine (Paris 1907– )	Espérandieu
H. Rix, Etruskische Texte: Editio minor (Tübingen 1991)	ET
Études balkaniques	ÉtBalk
Études byzantines	ÉtByz
Études celtiques	ÉtCelt
Les études classiques	ÉtCl
Études crétoises	ÉtCrét
Ethnologischer Anzeiger	EthnolAnz
Ethnos. Revista do Instituto português de arqueologia, história e etnografia	Ethnos
Études de papyrologie	ÉtPap
Etruscan Studies. Journal of the Etruscan Foundation.	EtrStud
Études et travaux. Studia i prace. Travaux du Centre d'archéologie méditerranéenne de l’Académie des sciences polonaise	ÉtTrav
J.D. Beazley, Etruscan Vase Painting (Oxford 1947)	EVP
East and West	EW
Excavaciones arqueológicas en España	ExcArqEsp
Expedition. Bulletin of the University Museum of the University of Pennsylvania	Expedition
Fasti archaeologici	FA
Fouilles de Delphes, École Française d'Athènes	FdD
Felix Ravenna	FelRav
F. Jacoby, Fragmente der griechischen Historiker (Berlin 1923– )	FGrHist
K. Müller, Fragmenta historicorum graecorum (Frankfurt 1975, repr. of 1841–1938 eds.)	FHG
Fouilles de l'Institut français d'archéologie orientale	FIFAO
Figlina. Documents du Laboratoire de céramologie de Lyon	Figlina
K. Fittschen and P. Zanker, Katalog der römischen Porträts in den Capitolinischen Museen und den anderen kommunalen Sammlungen der Stadt Rom (Mainz 1985– )	Fittschen-Zanker
Folia archaeologica. Magyar Nemzeti Múzeum Történeti Múzeumänak Évkönyve	FolArch
Folia orientalia	FolOr
A. Furtwängler and K. Reichhold, Griechische Vasenmalerei (Munich 1900–1925)	FR
Excavations at Franchthi Cave, Greece	Franchthi
Forschungen und Berichte. Staatliche Museen zu Berlin	FuB
Forschungen und Fortschritte	FuF	
Gaceta numismática [Barcelona]	GacNum
Gallia. Fouilles et monuments archéologiques en France métropolitaine	Gallia
Gallia préhistoire	GalliaPrHist
Greece and Rome	GaR
Gazette archéologique	GazArch
Gazette des beaux-arts	GBA
Griechische christliche Schriftsteller der ersten drei Jahrhunderte	GCS
Genava. Bulletin du Musée de Genève	Genava
A. Gercke and E. Norden, Einleitung in die Altertumswissenschaft (Leipzig 1910–1912)	Gercke-Norden
Germania. Anzeiger der Römisch-Germanischen Kommission des Deutschen Archäologischen Instituts	Germania
The J. Paul Getty Museum Journal	GettyMusJ 
Göttingische gelehrte Anzeiger	GGA
M.P. Nilsson, Geschichte der griechischen Religion. 3rd ed. (Munich 1967)	GGR3
Glotta. Zeitschrift für griechische und lateinische Sprache	Glotta
Gnomon. Kritische Zeitschrift für die gesamte klassische Altertumswissenschaft	Gnomon
L. Godart and J.-P. Olivier, Recueil des inscriptions en Linéaire A (Paris 1976– )	GORILA
Nachrichten von der Gesellschaft der Wissenschaften zu Göttingen	GöttNachr
Gesellschaft pro Vindonissa. Jahresbericht	GPVJ
Grazer Beiträge	GrazBeitr
Greek, Roman and Byzantine Monographs	GRBM
Greek, Roman and Byzantine Studies	GRBS
Greek, Roman and Byzantine Scholarly Aids	GRBSA
G.E. Mylonas, Grave Circle B of Mycenae (Lund 1964)	GrCirclB
Gymnasium. Zeitschrift für Kultur der Antike und humanistische Bildung	Gymnasium
Hallisches Winckelmannsprogramm	HallWPr
Hamburger Beiträge zur Archäologie	HBA
Hamburger Beiträge zur Numismatik	HBN
Handbuch der Archäologie (Handbuch der Altertumswissenschaft, Berlin 1931– )	HdA 
W. Helbig, Führer durch die öffentlichen Sammlungen klassischer Altertümer in Rom. 4th ed. supervised by H. Speier (Tübingen 1963–1972)	Helbig4
F. Brommer, Vasenlisten zur griechischen Heldensage. 3rd ed. (Marburg 1973)	Heldensage3
Helikon. Rivista di tradizione e cultura classica	Helikon
Helinium. Revue consacrée à l'archéologie des Pays-Bas, de la Belgique et du Grand Duché de Luxembourg	Helinium
Helios. Journal of the Classical Association of the Southwestern United States	Helios 
Helvetia archaeologica	HelvArch
Hephaistos. Kritische Zeitschrift zur Theorie und Praxis der Archäologie und angrenzendes Wissenschaften	Hephaistos
Hermes. Zeitschrift für klassische Philologie	Hermes
Hesperia. The Journal of the American School of Classical Studies at Athens	Hesperia
Hispania antigua. Revista de historia antigua	HispAnt
Historia. Zeitschrift für alte Geschichte	Historia
Histria archaeologica	HistrArch
Historisches Jahrbuch	HJ
Harvard Studies in Classical Philology	HSCP
Harvard Theological Review	HTR
Huelva arqueológica	HuelvaArq
Historische Zeitschrift	HZ
Inscriptiones creticae	ICr
Inscriptions de Délos	ID
Israel Exploration Journal	IEJ 
Inscriptiones graecae	IG
C. Kraay, O. Mørkholm, and M. Thompson, An Inventory of Greek Coin Hoards (New York 1973)	IGCH
Indogermanische Forschungen	IGForsch
Inscriptions grecques et latines de la Syrie	IGLSyr
Inscriptiones graecae ad res romanas pertinentes	IGRR
Inscriptiones Italiae	II
Indogermanisches Jahrbuch	IJb
International Journal of the Classical Tradition	IJCT 
International Journal for Middle East Studies	IJMES 
International Journal of Nautical Archaeology and Underwater Exploration	IJNA 
H. Degrassi, Inscriptiones latinae liberae rei publicae (Rome 1957–)	ILLRP
The Illustrated London News	ILN
H. Dessau, ed., Inscriptiones latinae selectae (1892–1916)	ILS
Israel Museum Journal	IMJ
Israel Museum News	IMN
Israel Numismatic Journal	INJ
Internet Archaeology [online]	IntArch
Israel Oriental Studies	IOS
Iran. Journal of the British Institute of Persian Studies	Iran
Iranica antiqua	IrAnt
Iraq, published by the British School of Archaeology in Iraq	Iraq
Istituto italiano per il Medio ed Estremo Oriente	IsMEO
Istanbul Arkeologi Müzeleri Yilligi	IstArkMüzYill
Istanbuler Forschungen	IstForsch
Istanbuler Mitteilungen	IstMitt
Istanbuler Mitteilungen. Beiheft	IstMitt-BH
Italica. Cuadernos de trabajos de la Escuela española de historica y arqueología en Roma	Italica
Jaarboek van de Akademie te Amsterdam	JaarbAkAmst
Jahrbuch für Antike und Christentum	JAC
Journal of Ancient Near Eastern Religions	JANER 
Journal of the Ancient Near East Society of Columbia University	JANES 
Journal of Anthropological Archaeology	JAnthArch 
Journal of the American Oriental Society	JAOS 
Journal of the American Research Center in Egypt	JARCE 
Journal of Archaeological Science	JAS 
Jahrbuch der Berliner Museen	JBerlMus
Jahrbuch des Bernischen historischen Museums	JBernHistMus
Journal of Biblical Literature	JBL 
Journal of Cuneiform Studies	JCS 
Jahrbuch des Deutschen Archäologischen Instituts	JdI
Jahrbuch des Deutschen Archäologischen Instituts. Ergänzungsheft	JdI-EH
The Journal of Egyptian Archaeology	JEA 
Jaarbericht van het Vooraziatisch-egyptisch genootschap “Ex Oriente Lux”	JEOL
Journal of the Economic and Social History of the Orient	JESHO 
Journal of Field Archaeology	JFA 
Journal of Garden History (continued by SHG)	JGH 
Jahrbuch der Akademie der Wissenschaften in Göttingen	JGött
Journal of Glass Studies	JGS 
Journal of Hellenic Studies	JHS 
Journal international d'archéologie numismatique	JIAN 
Journal of Indo-European Studies	JIES 
Journal of Juristic Papyrology	JJurP 
Jahrbuch für kleinasiatische Forschung	JKF
Jahrbuch der Kunsthistorischen Sammlungen in Wien	JKSW
Journal of Mediterranean Archaeology	JMA 
Jahrbuch. Akademie der Wissenschaften und der Literatur [Mainz]	JMainz
Journal of the Museum of Fine Arts, Boston	JMFA 
Journal of Mithraic Studies	JMithSt 
Jahrbuch. Bayerische Akademie der Wissenschaften [Munich]	JMünch
Journal of Near Eastern Studies	JNES 
Jahrbuch für Numismatik und Geldgeschichte	JNG
Jahrbuch der Österreichischen Byzantinischen Gesellschaft	JÖBG
Journal of Oman Studies	JOS 
Journal of Philology	JP 
Jahrbuch preussischer Kulturbesitz	JPKB
Jahrbuch der preussischen Kunstsammlungen	JPKS
